Baseline Patient Characteristics
" "
Generated by TriNetX
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
AI,Age at Index,,33436,100%,69.76929,6.613517,60,90,385942,100%,71.827965,8.096249,59,90,0,0.2784944,33249,100%,69.77819,6.617109,60,90,33249,100%,69.79945,7.268497,59,90,0.6932427,0.0030593465
2106-3,White,,25128,75.153%,,,,,298829,77.428%,,,,,1.6849812e-21,0.053532876,25098,75.485%,,,,,25118,75.545%,,,,,0.85686374,0.0013988952
2186-5,Not Hispanic or Latino,,25090,75.039%,,,,,279879,72.518%,,,,,3.193701e-23,0.05732804,25058,75.365%,,,,,25305,76.108%,,,,,0.02545675,0.017330175
F,Female,,19478,58.255%,,,,,252981,65.549%,,,,,0,0.1506307,19382,58.293%,,,,,19537,58.76%,,,,,0.22245842,0.009462294
M,Male,,11408,34.119%,,,,,116798,30.263%,,,,,0,0.08259915,11323,34.055%,,,,,11215,33.73%,,,,,0.37626845,0.0068623014
2054-5,Black or African American,,2622,7.842%,,,,,31756,8.228%,,,,,0.013497488,0.014212399,2618,7.874%,,,,,2641,7.943%,,,,,0.74102503,0.0025632593
2135-2,Hispanic or Latino,,1070,3.2%,,,,,15074,3.906%,,,,,1.2453694e-10,0.038125303,1070,3.218%,,,,,1019,3.065%,,,,,0.25688335,0.008793502
2028-9,Asian,,336,1.005%,,,,,5834,1.512%,,,,,1.5515252e-13,0.045472074,335,1.008%,,,,,341,1.026%,,,,,0.8165759,0.0017989642
E00-E89,"Endocrine, nutritional and metabolic diseases",,29454,88.091%,,,,,315746,81.812%,,,,,0,0.17629063,29278,88.057%,,,,,29189,87.789%,,,,,0.28953522,0.008214544
I00-I99,Diseases of the circulatory system,,29155,87.196%,,,,,305175,79.073%,,,,,0,0.21823958,28978,87.155%,,,,,28911,86.953%,,,,,0.438969,0.006002503
F30-F39,Mood [affective] disorders,,29029,86.82%,,,,,303865,78.733%,,,,,0,0.2153959,28849,86.767%,,,,,28810,86.649%,,,,,0.6559688,0.0034550962
M00-M99,Diseases of the musculoskeletal system and connective tissue,,28685,85.791%,,,,,293995,76.176%,,,,,0,0.2468649,28505,85.732%,,,,,28545,85.852%,,,,,0.65683293,0.0034458223
F32,Depressive episode,,27644,82.677%,,,,,282534,73.206%,,,,,0,0.22992049,27465,82.604%,,,,,27485,82.664%,,,,,0.8377774,0.001587899
K00-K95,Diseases of the digestive system,,26550,79.405%,,,,,258694,67.029%,,,,,0,0.2822509,26381,79.344%,,,,,26391,79.374%,,,,,0.923668,0.0007431154
G00-G99,Diseases of the nervous system,,26548,79.399%,,,,,265926,68.903%,,,,,0,0.24149185,26375,79.326%,,,,,26269,79.007%,,,,,0.31146273,0.007850136
I10,Essential (primary) hypertension,,24971,74.683%,,,,,259104,67.135%,,,,,0,0.16675484,24816,74.637%,,,,,24633,74.086%,,,,,0.10410372,0.012605541
N00-N99,Diseases of the genitourinary system,,23793,71.16%,,,,,236023,61.155%,,,,,0,0.2126314,23627,71.061%,,,,,23560,70.859%,,,,,0.56708145,0.004439073
F40-F48,"Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",,19111,57.157%,,,,,191369,49.585%,,,,,0,0.15222527,18972,57.06%,,,,,18665,56.137%,,,,,0.016304111,0.018630479
R90-R94,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",,18494,55.312%,,,,,159922,41.437%,,,,,0,0.28035828,18381,55.283%,,,,,18423,55.409%,,,,,0.7431983,0.0025409597
